year,month,age,portfolio_end,income,taxed_income,monthly_raw_expenses,raw_expenses,net_expenses,gross_up,event
2036,11,66.83,5418777.36,32400.0,22129.2,6318.82,75825.87,53696.67,78618.84,
2036,12,66.92,5436682.16,32400.0,22129.2,6341.13,76093.58,53964.38,79010.81,
2037,1,67.0,5507318.59,32400.0,22129.2,6100.0,73200.0,51070.8,74774.23,Market Crash Year 6
2037,2,67.08,5578918.83,32400.0,22129.2,6123.83,73485.96,51356.76,75192.92,
2037,3,67.17,5651496.37,32400.0,22129.2,6147.75,73773.05,51643.85,75613.25,
2037,4,67.25,5725064.91,32400.0,22129.2,6171.77,74061.25,51932.05,76035.21,
2037,5,67.33,5799638.3,32400.0,22129.2,6195.88,74350.58,52221.38,76458.83,
2037,6,67.42,5875230.63,32400.0,22129.2,6220.09,74641.04,52511.84,76884.1,
2037,7,67.5,5951856.16,32400.0,22129.2,6244.39,74932.63,52803.43,77311.03,
2037,8,67.58,6029529.36,32400.0,22129.2,6268.78,75225.37,53096.17,77739.63,
2037,9,67.67,6108264.89,32400.0,22129.2,6293.27,75519.25,53390.05,78169.91,
2037,10,67.75,6188077.65,32400.0,22129.2,6317.86,75814.27,53685.07,78601.86,
2037,11,67.83,6268982.72,32400.0,22129.2,6342.54,76110.45,53981.25,79035.5,
2037,12,67.92,6350995.41,32400.0,22129.2,6367.32,76407.78,54278.58,79470.84,
2038,1,68.0,6359602.74,32400.0,22129.2,6100.0,73200.0,51070.8,74774.23,Market Crash Year 7
2038,2,68.08,6368198.58,32400.0,22129.2,6121.59,73459.03,51329.83,75153.48,
2038,3,68.17,6376782.78,32400.0,22129.2,6143.25,73718.97,51589.77,75534.08,
2038,4,68.25,6385355.22,32400.0,22129.2,6164.99,73979.84,51850.64,75916.02,
2038,5,68.33,6393915.74,32400.0,22129.2,6186.8,74241.63,52112.43,76299.31,
2038,6,68.42,6402464.2,32400.0,22129.2,6208.7,74504.34,52375.14,76683.96,
2038,7,68.5,6411000.48,32400.0,22129.2,6230.67,74767.99,52638.79,77069.97,
2038,8,68.58,6419524.41,32400.0,22129.2,6252.71,75032.56,52903.36,77457.34,
2038,9,68.67,6428035.87,32400.0,22129.2,6274.84,75298.08,53168.88,77846.09,
2038,10,68.75,6436534.7,32400.0,22129.2,6297.04,75564.53,53435.33,78236.21,
2038,11,68.83,6445020.76,32400.0,22129.2,6319.33,75831.93,53702.73,78627.71,
2038,12,68.92,6453493.91,32400.0,22129.2,6341.69,76100.27,53971.07,79020.6,
2039,1,69.0,6439575.94,32400.0,22129.2,6100.0,73200.0,51070.8,74774.23,Market Crash Year 8
2039,2,69.08,6425671.04,32400.0,22129.2,6102.38,73228.61,51099.41,74816.12,
2039,3,69.17,6411779.22,32400.0,22129.2,6104.77,73257.23,51128.03,74858.02,
2039,4,69.25,6397900.46,32400.0,22129.2,6107.15,73285.86,51156.66,74899.94,
2039,5,69.33,6384034.73,32400.0,22129.2,6109.54,73314.5,51185.3,74941.88,
2039,6,69.42,6370182.02,32400.0,22129.2,6111.93,73343.15,51213.95,74983.83,
2039,7,69.5,6356342.31,32400.0,22129.2,6114.32,73371.82,51242.62,75025.8,
2039,8,69.58,6342515.59,32400.0,22129.2,6116.71,73400.49,51271.29,75067.78,
2039,9,69.67,6328701.83,32400.0,22129.2,6119.1,73429.18,51299.98,75109.78,
2039,10,69.75,6314901.03,32400.0,22129.2,6121.49,73457.88,51328.68,75151.8,
2039,11,69.83,6301113.17,32400.0,22129.2,6123.88,73486.59,51357.39,75193.83,
2039,12,69.92,6287338.22,32400.0,22129.2,6126.28,73515.31,51386.11,75235.88,
2040,1,70.0,6387949.41,32400.0,22129.2,6100.0,73200.0,51070.8,74774.23,Market Crash Year 9
2040,2,70.08,6490269.79,32400.0,22129.2,6100.36,73204.27,51075.07,74780.48,
2040,3,70.17,6594328.4,32400.0,22129.2,6100.71,73208.54,51079.34,74786.73,
2040,4,70.25,6700154.79,32400.0,22129.2,6101.07,73212.81,51083.61,74792.98,
2040,5,70.33,6807779.0,32400.0,22129.2,6101.42,73217.08,51087.88,74799.23,
2040,6,70.42,6917231.57,32400.0,22129.2,6101.78,73221.35,51092.15,74805.48,
2040,7,70.5,7028543.57,32400.0,22129.2,6102.13,73225.62,51096.42,74811.74,
2040,8,70.58,7141746.61,32400.0,22129.2,6102.49,73229.89,51100.69,74817.99,
2040,9,70.67,7256872.82,32400.0,22129.2,6102.85,73234.16,51104.96,74824.24,
2040,10,70.75,7373954.87,32400.0,22129.2,6103.2,73238.43,51109.23,74830.49,
2040,11,70.83,7493026.01,32400.0,22129.2,6103.56,73242.7,51113.5,74836.75,
2040,12,70.92,7614120.04,32400.0,22129.2,6103.91,73246.97,51117.77,74843.0,
2041,1,71.0,7601001.99,32400.0,22129.2,6100.0,73200.0,51070.8,74774.23,Market Crash Year 10
2041,2,71.08,7587872.91,32400.0,22129.2,6115.64,73387.65,51258.45,75048.98,
2041,3,71.17,7574732.75,32400.0,22129.2,6131.32,73575.78,51446.58,75324.43,
2041,4,71.25,7561581.46,32400.0,22129.2,6147.03,73764.4,51635.2,75600.58,
2041,5,71.33,7548418.99,32400.0,22129.2,6162.79,73953.5,51824.3,75877.45,
2041,6,71.42,7535245.3,32400.0,22129.2,6178.59,74143.08,52013.88,76155.02,
2041,7,71.5,7522060.33,32400.0,22129.2,6194.43,74333.15,52203.95,76433.31,
2041,8,71.58,7508864.04,32400.0,22129.2,6210.31,74523.71,52394.51,76712.31,
2041,9,71.67,7495656.38,32400.0,22129.2,6226.23,74714.75,52585.55,76992.02,
2041,10,71.75,7482437.29,32400.0,22129.2,6242.19,74906.29,52777.09,77272.45,
2041,11,71.83,7469206.73,32400.0,22129.2,6258.19,75098.31,52969.11,77553.6,
2041,12,71.92,7455964.65,32400.0,22129.2,6274.24,75290.83,53161.63,77835.47,
2042,1,72.0,7497705.37,32400.0,22129.2,6100.0,73200.0,51070.8,74774.23,Market Crash Recovery
2042,2,72.08,7539692.91,32400.0,22129.2,6114.85,73378.16,51248.96,75035.07,
2042,3,72.17,7581928.8,32400.0,22129.2,6129.73,73556.75,51427.55,75296.55,
2042,4,72.25,7624414.61,32400.0,22129.2,6144.65,73735.77,51606.57,75558.67,
2042,5,72.33,7667151.87,32400.0,22129.2,6159.6,73915.23,51786.03,75821.42,
2042,6,72.42,7710142.15,32400.0,22129.2,6174.59,74095.13,51965.93,76084.81,
2042,7,72.5,7753387.04,32400.0,22129.2,6189.62,74275.46,52146.26,76348.84,
